Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2015 - 2019
Period Ending,"Jun '25 Jun 4, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",2015 - 2019
Market Capitalization,2200027,2306888,1570153,856939,1691003,1634168,Upgrade
Market Cap Growth,7.61%,46.92%,83.23%,-49.32%,3.48%,78.37%,Upgrade
Enterprise Value,2263415,2377372,1672049,962611,1748253,1662580,Upgrade
Last Close Price,207.23,219.39,151.94,84.00,166.72,162.85,Upgrade
PE Ratio,33.76,38.94,51.61,-,50.68,76.61,Upgrade
Forward PE,32.85,37.46,45.35,60.23,84.84,83.76,Upgrade
PS Ratio,3.35,3.62,2.73,1.67,3.60,4.23,Upgrade
PB Ratio,7.19,8.07,7.78,5.87,12.23,17.50,Upgrade
P/TBV Ratio,8.38,9.07,9.16,7.16,14.36,22.26,Upgrade
P/FCF Ratio,105.72,70.17,48.74,-,-,63.04,Upgrade
P/OCF Ratio,19.31,19.91,18.48,18.33,36.50,24.74,Upgrade
PEG Ratio,1.91,1.69,1.68,1.95,3.34,2.42,Upgrade
EV/Sales Ratio,3.48,3.73,2.91,1.87,3.72,4.31,Upgrade
EV/EBITDA Ratio,17.94,19.73,19.55,17.42,29.48,34.58,Upgrade
EV/EBIT Ratio,31.57,34.66,45.37,72.12,70.27,72.61,Upgrade
EV/FCF Ratio,108.77,72.31,51.90,-,-,64.13,Upgrade
Debt / Equity Ratio,0.52,0.54,0.80,1.16,1.01,1.12,Upgrade
Debt / EBITDA Ratio,1.12,1.15,1.64,2.58,2.05,1.93,Upgrade
Debt / FCF Ratio,7.59,4.73,5.01,-,-,4.04,Upgrade
Asset Turnover,1.11,1.11,1.16,1.16,1.27,1.41,Upgrade
Inventory Turnover,9.87,9.66,9.00,8.62,9.65,10.54,Upgrade
Quick Ratio,0.81,0.84,0.81,0.69,0.91,0.86,Upgrade
Current Ratio,1.05,1.06,1.05,0.95,1.14,1.05,Upgrade
Return on Equity (ROE),25.24%,24.29%,17.49%,-1.92%,28.81%,27.44%,Upgrade
Return on Assets (ROA),7.63%,7.44%,4.65%,1.89%,4.19%,5.24%,Upgrade
Return on Capital (ROIC),10.66%,10.65%,6.78%,2.81%,6.53%,8.48%,Upgrade
Return on Capital Employed (ROCE),15.30%,15.40%,10.20%,4.30%,8.90%,11.80%,Upgrade
Earnings Yield,3.00%,2.57%,1.94%,-0.32%,1.97%,1.31%,Upgrade
FCF Yield,0.95%,1.43%,2.05%,-1.97%,-0.87%,1.59%,Upgrade
Buyback Yield / Dilution,-1.69%,-2.18%,-2.97%,1.04%,-0.96%,-1.17%,Upgrade
