Fiscal Year,Current,FY 2024,FY 2023,FY 2022,FY 2021,FY 2020,2015 - 2019
Period Ending,"Jun '25 Jun 4, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '22 Dec 31, 2022","Dec '21 Dec 31, 2021","Dec '20 Dec 31, 2020",2015 - 2019
Market Capitalization,1655370,1478113,910122,315555,935645,778040,Upgrade
Market Cap Growth,17.96%,62.41%,188.42%,-66.27%,20.26%,32.92%,Upgrade
Enterprise Value,1709020,1456260,885875,300260,890789,733564,Upgrade
Last Close Price,687.95,584.99,352.30,119.78,334.77,271.88,Upgrade
PE Ratio,25.73,23.70,23.28,13.60,23.77,26.70,Upgrade
Forward PE,25.96,23.96,20.78,16.39,24.69,27.59,Upgrade
PS Ratio,10.21,8.99,6.75,2.71,7.93,9.05,Upgrade
PB Ratio,9.38,8.09,5.94,2.51,7.49,6.07,Upgrade
P/TBV Ratio,10.52,9.18,6.91,3.02,8.91,7.16,Upgrade
P/FCF Ratio,33.07,27.34,20.65,16.36,24.00,32.99,Upgrade
P/OCF Ratio,18.00,16.18,12.80,6.25,16.22,20.08,Upgrade
PEG Ratio,1.50,1.36,1.04,4.78,1.29,1.42,Upgrade
EV/Sales Ratio,10.03,8.85,6.57,2.58,7.55,8.53,Upgrade
EV/EBITDA Ratio,19.43,17.40,14.72,7.11,16.28,18.56,Upgrade
EV/EBIT Ratio,23.75,21.35,18.08,8.95,19.05,22.45,Upgrade
EV/FCF Ratio,32.67,26.93,20.10,15.57,22.85,31.10,Upgrade
Debt / Equity Ratio,0.27,0.27,0.24,0.21,0.11,0.08,Upgrade
Debt / EBITDA Ratio,0.54,0.57,0.59,0.60,0.25,0.26,Upgrade
Debt / FCF Ratio,0.95,0.92,0.85,1.38,0.36,0.45,Upgrade
Asset Turnover,0.68,0.65,0.65,0.66,0.73,0.59,Upgrade
Quick Ratio,2.50,2.82,2.55,2.01,2.94,4.89,Upgrade
Current Ratio,2.66,2.98,2.67,2.20,3.15,5.05,Upgrade
Return on Equity (ROE),39.84%,37.14%,28.04%,18.52%,31.10%,25.42%,Upgrade
Return on Assets (ROA),17.88%,16.86%,14.75%,11.93%,17.96%,13.95%,Upgrade
Return on Capital (ROIC),21.33%,20.17%,17.88%,14.41%,21.04%,16.31%,Upgrade
Return on Capital Employed (ROCE),29.20%,28.10%,24.80%,21.10%,32.30%,22.60%,Upgrade
Earnings Yield,3.85%,4.22%,4.30%,7.35%,4.21%,3.75%,Upgrade
FCF Yield,3.02%,3.66%,4.84%,6.11%,4.17%,3.03%,Upgrade
Dividend Yield,0.32%,0.34%,-,-,-,-,Upgrade
Payout Ratio,8.21%,8.13%,-,-,-,-,Upgrade
Buyback Yield / Dilution,1.18%,0.57%,2.70%,5.49%,1.00%,-0.42%,Upgrade
Total Shareholder Return,1.48%,0.91%,2.70%,5.49%,1.00%,-0.42%,Upgrade
